id;title;edition;isbn_13;publishingyear;listprice;currency_id;author_id;genre_id;publisher_id
1;majestically domain;23703;"978914985002X";30584;14430.09;1;1;1;1
2;bah;7615;"785120995X";20131;9429.07;2;2;2;2
3;absent commonsense;22513;"2394464428";21808;562;3;3;3;3
4;wealthy save;28029;"4593706305";2209;601.94;4;4;4;4
5;aw drat kneecap;24977;"988842328X";3600;2446.46;5;5;5;5
6;via or;13796;"686525902X";8556;32541.62;6;6;6;6
7;brilliant;19079;"6619760286";31155;10807.98;7;7;7;7
8;fooey which;6366;"979746042964X";29788;13060;8;8;8;8
9;verse eyeliner;28354;"9786999982077";8872;8651.27;9;9;9;9
10;bravely playfully;15575;"978990855104X";20770;23751.32;10;10;10;10
