id;name;contact;website;socialmedia
1;supposing faithfully duh;pry whoa;gosh duh;amidst whenever instead
2;sip;yawningly;nor;armament
3;giant yet ample;finally oh;harmonize;like throughout
4;insulate instead say;photograph duh loyally;eek champion yippee;before
5;except;husky turnover;as after via;criminal
6;christen;hm;furthermore canoe reclamation;vacantly
7;blah excitedly credibility;therapy how where;allegation dwell;trouser
8;pitching over outlandish;atop;zowie;starry
9;kookily snuffling;lox;regarding wobbly amidst;who um floor
10;modulo;yoke appreciation villainous;out or;whimsical oh
